"","DateTime","Identifier","Identifier2","PuzzleType","YEAR","LorD","SiteID","GroupSize","agesex","UniqueID2","Disease","PuzzleSequence"
"157"," 2024-03-06 08:05:54","NW6_EVENT2","NW6_EVENT2_W_2024","W","2024","L","NW6",1,"M","NW6-M1_2024","N",0
"158"," 2024-03-07 10:21:44","NW6_EVENT3","NW6_EVENT3_W_2024","W","2024","L","NW6",1,"F","NW6-F1_2024","mangey female",0
"159"," 2024-03-09 07:27:30","NW6_EVENT4","NW6_EVENT4_W_2024","W","2024","L","NW6",1,"M","NW6-M3_2024","N",0
"160"," 2024-03-10 10:37:10","NW6_EVENT5","NW6_EVENT5_A_2024","A","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",0
"161"," 2024-03-10 10:53:32","NW6_EVENT6","NW6_EVENT6_W_2024","W","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",1
"162"," 2024-03-10 10:53:54","NW6_EVENT6","NW6_EVENT6_A_2024","A","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",2
"163"," 2024-03-10 11:38:32","NW6_EVENT7","NW6_EVENT7_W_2024","W","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",1
"164"," 2024-03-10 11:38:56","NW6_EVENT7","NW6_EVENT7_A_2024","A","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",2
"165"," 2024-03-10 11:57:46","NW6_EVENT8","NW6_EVENT8_W_2024","W","2024","L","NW6",2,"M + U","NW-M2 + NW6-U3_2024","one mangey male, other mangey tail",0
"166"," 2024-03-10 12:00:56","NW6_EVENT9","NW6_EVENT9_W_2024","W","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",1
"167"," 2024-03-10 12:02:04","NW6_EVENT9","NW6_EVENT9_A_2024","A","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",2
"168"," 2024-03-10 12:41:46","NW6_EVENT10","NW6_EVENT10_W_2024","W","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",0
"169"," 2024-03-10 13:19:16","NW6_EVENT11","NW6_EVENT11_W_2024","W","2024","L","NW6",1,"M","NW6-M2_2024","mangey male",0
"170"," 2024-03-11 18:10:28","NW6_EVENT12","NW6_EVENT12_W_2024","W","2024","L","NW6",1,"F","NW6-F2_2024","N",1
"171"," 2024-03-11 18:11:32","NW6_EVENT12","NW6_EVENT12_A_2024","A","2024","L","NW6",1,"F","NW6-F2_2024","N",2
"172"," 2024-03-11 19:55:20","NW6_EVENT13","NW6_EVENT13_A_2024","A","2024","L","NW6",1,"F","NW6-F2_2024","N",0
