Site_ID,Common_ID,Lat,Long,Dist_CityCenter,Dist_CityPerimeter,Dist_River,Dist_RiverValleyRavine,Dist_Parks,Neighbourhood,Dist_Road,Road density,pop_density,AG,ANTH,WATER,GRASS,NAT,NoBldg50,NoBldg100,NoBldg250,NoBldg500,NoBldg1000,NoBldg1500,RoadDist50,RoadDist100,RoadDist250,RoadDist500,RoadDist1000,RoadDist1500,Nat50,Nat100,Nat250,Nat500,Nat1000,Nat1500
E9,Southeast,53.628500000000003,-112.78197,48131.074866199996904,32672.315112899999804,31682.335152600000583,30783.936356400001387,33023.817424699998810,,29555.537470200000826,na,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
NE1,Strathearn,53.537750000000003,-113.46555,1897.765192730000081,4260.551451119999911,102.871719080999995,0,0,Cloverdale,58.453896579099997,0.016323,838.0353167,0,24.54095655,13.92284898,42.35679265,19.17940275,0,3,64,527,3197,7265,,244.5905896,1694.675228009999955,8767.970628,49393.05034,122624.8998,6949.505296330000419,20826.66587,103176.781,281215.5491,653062.9897,1388004.793
NE2,Riverside,53.550220000000003,-113.46084,2410.214245069999834,3932.133970299999874,357.707068392999986,0,0,Forest Heights,37.188112027499997,0.011799,2518.28801,0,87.0832986,0,11.45017315,1.466528777,0,0,10,184,2033,4970,66.375147004200002,181.405163856999991,570.791166179000015,3775.97346,31914.18258,92631.8725,4416.814645710000150,15090.352,73038.57066,330002.6577,1323416.589,2058078.487
NE3,Wayne Gretzky West,53.553049999999999,-113.43835,3907.929756399999860,2442.678753499999857,184.440264148000011,0,39.885096904500003,Forest Heights,20.848309685299999,0.015589,2518.28801,0,87.0832986,0,11.45017315,1.466528777,0,2,70,555,2720,7491,203.891930844000001,544.180891717000009,2576.278094939999846,11191.5744,46462.12368,118683.5692,4666.237030250000316,13468.67378,94125.42643,312982.9793,846317.3913,1472527.845
NE4,Kinnaird,53.559690000000003,-113.46022,3046.545563170000150,3913.630298869999933,387.925010772999997,0,0,Cromdale,26.745132660700001,0.010981,5733.214224,0,90.44492971,0,4.562719784,4.992344502,3,16,145,396,1513,5893,28.480715551599999,281.552217976999998,2915.767083669999920,8650.463569,30600.706,97146.18022,6047.404763919999823,19180.06838,72678.33172,279220.644,890461.7065,1523994.314
NE5,Hollick Kenyon,53.620359999999998,-113.41858,10144.498229200000424,3445.970982100000128,3751.870598169999994,2718.406310700000176,57.086756911999998,Hollick-Kenyon,54.047368408700002,0.013573,3998.427643,0,83.24765962,3.80987756,8.880222017,4.062239865,0,12,128,1062,4139,8274,,202.656804192000010,1644.887717739999971,10369.27076,42863.16507,92854.12347,,,,,7677.648895,65702.72502
NE6,McConachie,53.635590000000001,-113.42057,11595.505483099999765,1784.676647139999886,4874.812792630000331,1850.107476579999911,0,Mcconachie Area,109.723546553000006,0.007395,1894.766749,2.231785638,87.77407673,0.364735302,0.252441597,9.376959804,0,8,81,438,1935,3946,,,908.464922138000020,4832.607417,23920.94838,52260.02443,7367.612072869999793,20767.29933,37642.45394,72106.60724,130713.7249,214787.6674
NE7,Crystallina,53.638140000000000,-113.4636,11002.123073999999178,1378.533149319999893,7324.249750160000076,3132.543743790000008,0,Crystallina Nera West,125.150922150000000,0.009434,1059.874698,0.382636932,92.08846922,1.564739834,0,5.964154245,0,0,70,297,2737,5090,,,779.609883576000016,2958.938516,28842.61236,64156.11336,7832.160538410000299,27483.77284,52089.20464,101400.5597,132821.3516,269232.1504
NW1,Dunluce,53.620049999999999,-113.53208,9166.945184550000704,2698.777727659999982,8438.321756819999791,7766.411677709999822,0,Dunluce,59.485911074800001,0.013033,2837.152216,0,70.49516451,0,24.03980761,5.465030299,0,8,210,784,3410,8041,,221.286747050000002,2196.293891410000015,8241.344533,39526.35791,93076.74235,6634.331858700000339,18814.35827,52952.83924,52953.0194,63370.5799,72223.09899
NW2,Cumberland,53.612200000000001,-113.55551,8928.217199999999139,2429.516217400000187,8172.298183140000219,7005.252801200000249,0,Cumberland,79.279037809299993,0.011663,4170.146202,0,85.07028838,1.888616194,7.143850678,5.897244307,0,26,343,1339,3731,6341,,232.231090235000011,2785.120407110000087,12195.01542,39064.91227,73424.1008,6401.141960119999567,13971.65204,18571.3136,18571.3136,193846.5077,412258.9257
NW3,Glenora,53.542529999999999,-113.55499,4068.690823639999962,8451.508790460000455,537.391105918999983,0,2.974369899100000,Glenora,16.864844497400000,0.018923,2164.903069,0,94.33088246,0,4.432508273,1.23660827,2,21,258,801,2670,6701,134.384365312999989,756.228795275000039,4575.645112049999625,17889.9536,59079.8281,133043.8345,4509.629673309999816,8196.661571,19727.19092,135095.9245,794872.798,1394695.383
NW4,Victoria,53.534959999999998,-113.52574,2226.910998870000185,8263.021758139999292,198.917877250999993,0,0,River Valley Victoria,156.250083931999995,0.013118,0,0,13.00621158,18.36890602,38.74163162,29.88325297,0,1,4,10,608,1788,,,479.840697132000003,814.8479481,37578.17707,94477.49431,5949.257745160000013,14090.33009,81529.55708,362087.9163,1027534.185,1695016.177
NW5,Mayfair,53.536209999999997,-113.54345,3341.327013099999931,9423.723480160000690,72.241176030899993,0,0,River Valley Mayfair,250.307332373999998,0.011228,0,0,8.011867985,23.02388115,33.99982207,34.96442874,0,0,9,17,556,2879,,,,4218.068755,31750.18957,93548.10908,3321.015686849999838,16201.70279,112662.4218,403460.7455,1288395.438,2320496.317
NW6,McKenzie,53.529339999999998,-113.56727,5046.913218480000069,8306.510072470000523,561.879229463000001,0,0,Crestwood,80.169206299699994,0.018217,2011.265876,0,92.45631797,0,6.620352574,0.923329449,1,8,192,791,3543,7242,,134.372338468000009,3236.139726280000104,14777.13782,59268.92931,126006.1568,7185.785714460000236,20676.78843,58219.68947,129752.9457,647115.2789,1455810.954
NW7,Dunvegan,53.587139999999998,-113.55522,6554.911133939999672,4648.531313800000135,5382.747658709999996,4210.548339289999603,0,Athlone,68.991069729499998,0.017716,2644.857703,0,82.77131085,0,13.92499901,3.303690652,0,26,328,1044,3133,7001,,146.251687411000006,3311.527749110000059,12655.69809,54240.6714,124102.4419,7832.560079670000050,15736.95838,16214.85498,16214.85498,16214.85498,29080.00146
SE1,Rosedale Cemetery,53.438519999999997,-113.4166,12492.224651599999561,4755.899580930000411,10373.179637799999909,3218.737237199999981,700.452488831999972,Crawford Plains,66.052742672400001,0.012326,3795.469451,0.129500145,91.88408697,0,6.973393316,1.013022285,1,2,123,739,2714,6259,,326.521305347999999,2750.518692579999879,12827.53988,40206.16456,79827.35026,3857.371537439999884,3980.663116,5341.332975,8240.332721,91697.1026,210237.8372
