,RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,Identifier2,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,X,Identifier2.1,Identifier2.2
45,NE4,NE4N.IMG_0023.MP4,NA, 2024-02-08 23:50:16,FALSE,NE4_EVENT4,NE4_EVENT4_W,W,D,NE4,1,NA,F,NE4-F1,"scruffy, dark bum",0,NA,NE4_EVENT4,W
46,NE4,NE4N.IMG_0027.MP4,NA, 2024-02-10 17:41:50,FALSE,NE4_EVENT5,NE4_EVENT5_W,W,N,NE4,1,NA,M,NE4-M1,N,0,NA,NE4_EVENT5,W
47,NE5,NE5A.IMG_0004.MP4,NA, 2024-02-06 02:54:36,FALSE,NE5_EVENT1,NE5_EVENT1_A,A,D,NE5,1,NA,F,NE5-F1,N,0,NA,NE5_EVENT1,A
48,NE5,NE5A.IMG_0005.MP4,NA, 2024-02-06 02:54:59,FALSE,NE5_EVENT1,NE5_EVENT1_A,A,D,NE5,1,NA,F,NE5-F1,N,0,NA,NE5_EVENT1,A
49,NE5,NE5A.IMG_0006.MP4,NA, 2024-02-06 06:26:34,FALSE,NE5_EVENT2,NE5_EVENT2_A,A,D,NE5,1,NA,Unk,NE5-U1,N,0,NA,NE5_EVENT2,A
50,NE5,NE5A.IMG_0007.MP4,NA, 2024-02-06 06:27:04,FALSE,NE5_EVENT2,NE5_EVENT2_A,A,D,NE5,1,NA,Unk,NE5-U1,N,0,NA,NE5_EVENT2,A
51,NE5,NE5A.IMG_0008.MP4,NA, 2024-02-06 06:53:30,FALSE,NE5_EVENT3,NE5_EVENT3_A,A,D,NE5,2,NA,F + U,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT3,A
52,NE5,NE5A.IMG_0009.MP4,NA, 2024-02-06 06:53:52,FALSE,NE5_EVENT3,NE5_EVENT3_A,A,D,NE5,2,NA,F + U,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT3,A
53,NE5,NE5A.IMG_0010.MP4,NA, 2024-02-06 06:54:15,FALSE,NE5_EVENT3,NE5_EVENT3_A,A,D,NE5,2,NA,F + U,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT3,A
54,NE5,NE5A.IMG_0011.MP4,NA, 2024-02-06 06:54:44,FALSE,NE5_EVENT3,NE5_EVENT3_A,A,D,NE5,2,NA,F + U,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT3,A
55,NE5,NE5A.IMG_0012.MP4,NA, 2024-02-06 06:55:04,FALSE,NE5_EVENT3,NE5_EVENT3_A,A,D,NE5,2,NA,F + U,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT3,A
56,NE5,NE5A.IMG_0014.MP4,NA, 2024-02-07 06:19:20,FALSE,NE5_EVENT4,NE5_EVENT4_A,A,D,NE5,1,NA,U,NE5-U1,N,0,NA,NE5_EVENT4,A
57,NE5,NE5A.IMG_0015.MP4,NA, 2024-02-07 06:47:32,FALSE,NE5_EVENT5,NE5_EVENT5_A,A,D,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT5,A
58,NE5,NE5A.IMG_0016.MP4,NA, 2024-02-07 13:28:32,FALSE,NE5_EVENT6,NE5_EVENT6_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT6,A
59,NE5,NE5A.IMG_0017.MP4,NA, 2024-02-07 13:29:12,FALSE,NE5_EVENT6,NE5_EVENT6_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT6,A
60,NE5,NE5A.IMG_0020.MP4,NA, 2024-02-08 12:08:14,FALSE,NE5_EVENT7,NE5_EVENT7_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT7,A
61,NE5,NE5A.IMG_0021.MP4,NA, 2024-02-08 12:08:34,FALSE,NE5_EVENT7,NE5_EVENT7_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT7,A
62,NE5,NE5A.IMG_0023.MP4,NA, 2024-02-08 12:59:30,FALSE,NE5_EVENT8,NE5_EVENT8_A,A,L,NE5,1,NA,SF,NE5-SF1,N,0,NA,NE5_EVENT8,A
63,NE5,NE5A.IMG_0024.MP4,NA, 2024-02-08 12:59:52,FALSE,NE5_EVENT8,NE5_EVENT8_A,A,L,NE5,1,NA,SF,NE5-SF1,N,0,NA,NE5_EVENT8,A
64,NE5,NE5A.IMG_0025.MP4,NA, 2024-02-08 13:00:56,FALSE,NE5_EVENT8,NE5_EVENT8_A,A,L,NE5,1,NA,SF,NE5-SF1,N,0,NA,NE5_EVENT8,A
65,NE5,NE5A.IMG_0031.MP4,NA, 2024-02-08 22:49:28,FALSE,NE5_EVENT9,NE5_EVENT9_A,A,D,NE5,1,NA,Unk,NE5-U1,N,0,NA,NE5_EVENT9,A
66,NE5,NE5A.IMG_0033.MP4,NA, 2024-02-10 00:52:38,FALSE,NE5_EVENT10,NE5_EVENT10_A,A,D,NE5,1,NA,Unk,NE5-U2,N,0,NA,NE5_EVENT10,A
67,NE5,NE5A.IMG_0035.MP4,NA, 2024-02-10 07:19:04,FALSE,NE5_EVENT11,NE5_EVENT11_A,A,D,NE5,1,NA,Unk,NE5-U2,N,0,NA,NE5_EVENT11,A
68,NE5,NE5A.IMG_0036.MP4,NA, 2024-02-10 18:19:10,FALSE,NE5_EVENT12,NE5_EVENT12_A,A,D,NE5,2,NA,F + Unk,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT12,A
69,NE5,NE5A.IMG_0037.MP4,NA, 2024-02-10 18:24:44,FALSE,NE5_EVENT12,NE5_EVENT12_A,A,D,NE5,2,NA,F + Unk,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT12,A
70,NE5,NE5A.IMG_0039.MP4,NA, 2024-02-10 18:27:26,FALSE,NE5_EVENT12,NE5_EVENT12_A,A,D,NE5,2,NA,F + Unk,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT12,A
71,NE5,NE5A.IMG_0040.MP4,NA, 2024-02-11 02:59:44,FALSE,NE5_EVENT13,NE5_EVENT13_A,A,D,NE5,3,NA,F + SF + Unk,NE5-F1 + NE5-SF2 + NE5-U1,partial tail,0,NA,NE5_EVENT13,A
72,NE5,NE5A.IMG_0041.MP4,NA, 2024-02-11 03:01:18,FALSE,NE5_EVENT13,NE5_EVENT13_A,A,D,NE5,3,NA,F + SF + Unk,NE5-F1 + NE5-SF2 + NE5-U1,partial tail,0,NA,NE5_EVENT13,A
73,NE5,NE5A.IMG_0042.MP4,NA, 2024-02-11 04:19:02,FALSE,NE5_EVENT14,NE5_EVENT14_A,A,D,NE5,2,NA,F + Unk,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT14,A
74,NE5,NE5A.IMG_0043.MP4,NA, 2024-02-11 04:19:28,FALSE,NE5_EVENT14,NE5_EVENT14_A,A,D,NE5,2,NA,F + Unk,NE5-F1 + NE5-U1,N,0,NA,NE5_EVENT14,A
75,NE5,NE5A.IMG_0049.MP4,NA, 2024-02-12 02:06:34,FALSE,NE5_EVENT15,NE5_EVENT15_A,A,D,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT15,A
